id,name,description,price
27,"Collier GPS pour Chat/Chien","Collier de suivi GPS waterproof avec batterie 5 jours. Application mobile pour localisation en temps réel. Compatible tous colliers.",2500.00
33,"Logiciel Gestion Clinique Vétérinaire","Logiciel professionnel de gestion des animaux patients. Dossiers numériques, facturation, rappels rendez-vous. Licence annuelle.",1500.00
30,"Licence Formation Eleveur Certifié","Certification numérique pour éleveurs animaliers. Cours complets, documents, certificat reconnu. Accès illimité.",299.00
26,"Aquarium LED 120L","Aquarium complet avec filtration, chauffage et éclairage LED 24h. Capacité: 120 litres. Parfait pour poissons tropicaux.",189.99
32,"Cage Oiseaux Spacieuse","Grande cage pour oiseaux avec deux portes, perchoirs et mangeoires. Dimensions: 92x60x58cm. Acier robuste.",89.50
25,"Panier Confortable pour Chien","Panier rembourré en mousse haute densité pour petit et moyen chien. Dimensions: 80x60cm. Lavable en machine.",45.50
31,"Brosse de Toilettage Premium Chien","Brosse double face avec picots en acier inoxydable. Ergonomique et confortable. Idéale pour tous types de pelage.",34.99
24,"Croquettes Premium Chat Adulte","Croquettes haut de gamme pour chat adulte avec viande de poisson. Formule complète et équilibrée avec vitamines et minéraux. Sac de 2kg.",24.99
28,"Jouets Interactifs pour Lapin","Lot de 5 jouets en bois naturel et matière tissée pour stimuler l'activité du lapin. Sécurisé et 100% naturel.",19.99
29,"Guide Complet du Soigneur Animalier","Ouvrage de référence sur le soin des animaux domestiques. PDF téléchargeable + accès vidéos exclusives. Format numérique.",12.99
